Id,Name,Team,Position,LegUp Rank,P Rk,ADP,Rookie,+/-
830517,Christian McCaffrey,SF,RB,1,RB1,1.2,,0.2
1062020,CeeDee Lamb,DAL,WR,2,WR1,2.3,,0.3
823156,Tyreek Hill,MIA,WR,3,WR2,2.9,,-0.1
1109979,Ja'Marr Chase,CIN,WR,4,WR3,4.6,,0.6
1069535,Justin Jefferson,MIN,WR,5,WR4,6.3,,1.3
1127106,Amon-Ra St. Brown,DET,WR,6,WR5,5.1,,-0.9
1228244,Bijan Robinson,ATL,RB,7,RB2,7.1,,0.1
1162537,Breece Hall,NYJ,RB,8,RB3,7.5,,-0.5
944826,A.J. Brown,PHI,WR,9,WR6,9.2,,0.2
1164889,Garrett Wilson,NYJ,WR,10,WR7,10.8,,0.8
1162128,Puka Nacua,LAR,WR,11,WR8,12.1,,1.1
1214154,Jahmyr Gibbs,DET,RB,12,RB4,12.0,,0.0
1287828,Marvin Harrison Jr.,ARI,WR,13,WR9,13.7,Rookie,0.7
1178741,Drake London,ATL,WR,14,WR10,16.8,,2.8
1065406,Jonathan Taylor,IND,RB,15,RB5,15.1,,0.1
1074698,Nico Collins,HOU,WR,16,WR11,18.4,,2.4
835749,Deebo Samuel Sr.,SF,WR,17,WR12,23.1,,6.1
1122592,Chris Olave,NO,WR,18,WR13,22.5,,4.5
1125749,Jaylen Waddle,MIA,WR,19,WR14,23.9,,4.9
1231820,De'Von Achane,MIA,RB,20,RB6,18.8,,-1.2
611417,Davante Adams,LV,WR,21,WR15,20.1,,-0.9
698227,Cooper Kupp,LAR,WR,22,WR16,23.5,,1.5
1060262,DeVonta Smith,PHI,WR,23,WR17,28.9,,5.9
883302,Saquon Barkley,PHI,RB,24,RB7,14.7,,-9.3
1286059,Malik Nabers,NYG,WR,25,WR18,29.5,Rookie,4.5
1167361,Kyren Williams,LAR,RB,26,RB8,20.4,,-5.6
448240,Travis Kelce,KC,TE,27,TE1,28.6,,1.6
593587,Mike Evans,TB,WR,28,WR19,26.2,,-1.8
945633,DK Metcalf,SEA,WR,29,WR20,34.1,,5.1
1107034,Brandon Aiyuk,SF,WR,30,WR21,30.1,,0.1
732145,Derrick Henry,BAL,RB,31,RB9,22.0,,-9.0
1168926,Sam LaPorta,DET,TE,32,TE2,33.4,,1.4
694041,Stefon Diggs,HOU,WR,33,WR22,37.3,,4.3
877790,DJ Moore,CHI,WR,34,WR23,34.6,,0.6
1177053,Zay Flowers,BAL,WR,35,WR24,41.5,,6.5
868199,Josh Allen,BUF,QB,36,QB1,36.2,,0.2
1128222,Tank Dell,HOU,WR,37,WR25,44.9,,7.9
913271,Jalen Hurts,PHI,QB,38,QB2,39.5,,1.5
911348,Michael Pittman Jr.,IND,WR,39,WR26,37.7,,-1.3
1106832,Isiah Pacheco,KC,RB,40,RB10,32.3,,-7.7
978577,Travis Etienne Jr.,JAX,RB,41,RB11,31.7,,-9.3
1108161,Trey McBride,ARI,TE,42,TE3,46.8,,4.8
820699,Mark Andrews,BAL,TE,43,TE4,53.4,,10.4
865801,Christian Kirk,JAX,WR,44,WR27,51.1,,7.1
978579,Tee Higgins,CIN,WR,45,WR28,51.6,,6.6
839031,Patrick Mahomes,KC,QB,46,QB3,40.3,,-5.7
650914,Amari Cooper,CLE,WR,47,WR29,45.1,,-1.9
877745,Lamar Jackson,BAL,QB,48,QB4,43.4,,-4.6
1131012,James Cook,BUF,RB,49,RB12,47.8,,-1.2
944416,Josh Jacobs,GB,RB,50,RB13,43.6,,-6.4
1172053,George Pickens,PIT,WR,51,WR30,46.3,,-4.7
1173538,Rashee Rice,KC,WR,52,WR31,58.2,,6.2
1135513,Dalton Kincaid,BUF,TE,53,TE5,52.1,,-0.9
557210,Keenan Allen,CHI,WR,54,WR32,58.0,,4.0
836116,Terry McLaurin,WAS,WR,55,WR33,56.0,,1.0
1215022,Anthony Richardson,IND,QB,56,QB5,60.9,,4.9
1123026,Kyle Pitts,ATL,TE,57,TE6,62.9,,5.9
1229343,Rachaad White,TB,RB,58,RB14,49.7,,-8.3
884013,Calvin Ridley,TEN,WR,59,WR34,63.1,,4.1
820727,Joe Mixon,HOU,RB,60,RB15,58.9,,-1.1
733672,George Kittle,SF,TE,61,TE7,65.9,,4.9
1123398,Jayden Reed,GB,WR,62,WR35,67.0,,5.0
835127,Chris Godwin,TB,WR,63,WR36,65.0,,2.0
750846,Alvin Kamara,NO,RB,64,RB16,54.8,,-9.2
1214084,C.J. Stroud,HOU,QB,65,QB6,55.9,,-9.1
976220,Hollywood Brown,KC,WR,66,WR37,60.5,,-5.5
1326638,Xavier Worthy,KC,WR,67,WR38,72.9,Rookie,5.9
1164402,Kenneth Walker III,SEA,RB,68,RB17,64.0,,-4.0
891115,Diontae Johnson,CAR,WR,69,WR39,75.3,,6.3
1067918,Christian Watson,GB,WR,70,WR40,76.1,,6.1
749185,Evan Engram,JAX,TE,71,TE8,74.0,,3.0
879799,Kyler Murray,ARI,QB,72,QB7,73.4,,1.4
946739,David Montgomery,DET,RB,73,RB18,68.8,,-4.2
1213727,Rome Odunze,CHI,WR,74,WR41,82.2,Rookie,8.2
742390,James Conner,ARI,RB,75,RB19,71.2,,-3.8
1218643,Ladd McConkey,LAC,WR,76,WR42,83.5,Rookie,7.5
741314,Aaron Jones,MIN,RB,77,RB20,70.1,,-6.9
1322431,Keon Coleman,BUF,WR,78,WR43,71.9,Rookie,-6.1
1174682,Rhamondre Stevenson,NE,RB,79,RB21,79.4,,0.4
1176443,Jaylen Warren,PIT,RB,80,RB22,88.9,,8.9
973964,Najee Harris,PIT,RB,81,RB23,88.6,,7.6
1110697,Zamir White,LV,RB,82,RB24,78.5,,-3.5
1214087,Jaxon Smith-Njigba,SEA,WR,83,WR44,90.2,,7.2
591816,Dak Prescott,DAL,QB,84,QB8,77.6,,-6.4
878785,Joe Burrow,CIN,QB,85,QB9,81.9,,-3.1
1286064,Brian Thomas Jr.,JAX,WR,86,WR45,94.6,Rookie,8.6
1065361,Jake Ferguson,DAL,TE,87,TE9,83.6,,-3.4
606501,Raheem Mostert,MIA,RB,88,RB25,81.6,,-6.4
1175184,Jameson Williams,DET,WR,89,WR46,84.6,,-4.4
912137,Jordan Love,GB,QB,90,QB10,86.8,,-3.2
1069808,D'Andre Swift,CHI,RB,91,RB26,84.4,,-6.6
1285917,Brock Bowers,LV,TE,92,TE10,98.9,Rookie,6.9
1123379,Chase Brown,CIN,RB,93,RB27,100.7,,7.7
1161228,Jayden Daniels,WAS,QB,94,QB11,100.3,Rookie,6.3
1214250,Jordan Addison,MIN,WR,95,WR47,101.0,,6.0
821389,Curtis Samuel,BUF,WR,96,WR48,93.4,,-2.6
832098,David Njoku,CLE,TE,97,TE11,90.5,,-6.5
880398,Tony Pollard,TEN,RB,98,RB28,98.0,,0.0
560241,DeAndre Hopkins,TEN,WR,99,WR49,97.1,,-1.9
1326601,Jonathon Brooks,CAR,RB,100,RB29,106.3,Rookie,6.3
1121761,Brock Purdy,SF,QB,101,QB12,97.1,,-3.9
913170,Zack Moss,CIN,RB,102,RB30,97.8,,-4.2
838878,Courtland Sutton,DEN,WR,103,WR50,107.3,,4.3
1059612,Joshua Palmer,LAC,WR,104,WR51,106.7,,2.7
1122653,Romeo Doubs,GB,WR,105,WR52,99.2,,-5.8
1107881,Javonte Williams,DEN,RB,106,RB31,110.8,,4.8
1286445,Caleb Williams,CHI,QB,107,QB13,107.7,Rookie,0.7
1169430,Tyjae Spears,TEN,RB,108,RB32,110.1,,2.1
973966,Brian Robinson Jr.,WAS,RB,109,RB33,113.6,,4.6
727837,Jared Goff,DET,QB,110,QB14,104.3,,-5.7
916466,Devin Singletary,NYG,RB,111,RB34,109.5,,-1.5
1130603,Khalil Shakir,BUF,WR,112,WR53,113.9,,1.9
1110711,Trevor Lawrence,JAX,QB,113,QB15,117.5,,4.5
605242,Tyler Lockett,SEA,WR,114,WR54,119.7,,5.7
791365,Dallas Goedert,PHI,TE,115,TE12,111.2,,-3.8
923412,Rashid Shaheed,NO,WR,116,WR55,123.5,,7.5
1248031,Trey Benson,ARI,RB,117,RB35,124.7,Rookie,7.7
790004,Austin Ekeler,WAS,RB,118,RB36,105.3,,-12.7
1229540,Blake Corum,LAR,RB,119,RB37,126.1,Rookie,7.1
973947,Tua Tagovailoa,MIA,QB,120,QB16,108.8,,-11.2
973935,Jerry Jeudy,CLE,WR,121,WR56,131.7,,10.7
933480,Rico Dowdle,DAL,RB,122,RB38,134.3,,12.3
880151,Jakobi Meyers,LV,WR,123,WR57,123.8,,0.8
739799,Gus Edwards,LAC,RB,124,RB39,127.6,,3.6
728338,Ezekiel Elliott,DAL,RB,125,RB40,125.5,,0.5
1213881,Ja'Lynn Polk,NE,WR,126,WR58,144.3,Rookie,18.3
1164530,Zach Charbonnet,SEA,RB,127,RB41,138.7,,11.7
910562,Justin Herbert,LAC,QB,128,QB17,137.7,,9.7
830523,Dalton Schultz,HOU,TE,129,TE13,121.9,,-7.1
403308,Kirk Cousins,ATL,QB,130,QB18,129.8,,-0.2
822857,Nick Chubb,CLE,RB,131,RB42,115.3,,-15.7
607864,Brandin Cooks,DAL,WR,132,WR59,116.5,,-15.5
323205,Matthew Stafford,LAR,QB,133,QB19,132.5,,-0.5
1285908,Adonai Mitchell,IND,WR,134,WR60,148.7,Rookie,14.7
1059576,Ty Chandler,MIN,RB,135,RB43,147.6,,12.6
1213414,MarShawn Lloyd,GB,RB,136,RB44,151.3,Rookie,15.3
213957,Aaron Rodgers,NYJ,QB,137,QB20,146.2,,9.2
1172428,Dontayvion Wicks,GB,WR,138,WR61,129.7,,-8.3
1125737,Jerome Ford,CLE,RB,139,RB45,119.1,,-19.9
733754,Mike Williams,NYJ,WR,140,WR62,144.8,,4.8
1131198,Tyler Allgeier,ATL,RB,141,RB46,153.2,,12.2
923915,T.J. Hockenson,MIN,TE,142,TE14,138.8,,-3.2
976513,J.K. Dobbins,LAC,RB,143,RB47,144.7,,1.7
1271738,Jaleel McLaughlin,DEN,RB,144,RB48,162.6,,18.6
976761,Gabe Davis,JAX,WR,145,WR63,134.8,,-10.2
828743,Deshaun Watson,CLE,QB,146,QB21,149.2,,3.2
1286513,Jaylen Wright,MIA,RB,147,RB49,165.5,Rookie,18.5
1179790,Luke Musgrave,GB,TE,148,TE15,150.9,,2.9
1161416,Ricky Pearsall,SF,WR,149,WR64,168.0,Rookie,19.0
748070,Baker Mayfield,TB,QB,150,QB22,143.3,,-6.7
1066765,Cole Kmet,CHI,TE,151,TE16,135.1,,-15.9
513856,Geno Smith,SEA,QB,152,QB23,161.2,,9.2
1116662,Pat Freiermuth,PIT,TE,153,TE17,128.7,,-24.3
1215077,Josh Downs,IND,WR,154,WR65,136.2,,-17.8
1121878,Jahan Dotson,WAS,WR,155,WR66,140.1,,-14.9
1107826,Antonio Gibson,NE,RB,156,RB50,169.0,,13.0
1108208,Rashod Bateman,BAL,WR,157,WR67,170.6,,13.6
1116663,Will Levis,TEN,QB,158,QB24,162.4,,4.4
503184,Taysom Hill,NO,TE,159,TE18,145.0,,-14.0
912027,Darnell Mooney,ATL,WR,160,WR68,153.5,,-6.5
744425,Hunter Henry,NE,TE,161,TE19,166.0,,5.0
1180321,Xavier Legette,CAR,WR,162,WR69,161.6,Rookie,-0.4
1175693,Demario Douglas,NE,WR,163,WR70,181.5,,18.5
1165229,Ray Davis,BUF,RB,164,RB51,172.1,Rookie,8.1
733643,Adam Thielen,CAR,WR,165,WR71,142.4,,-22.6
1110681,Justin Fields,PIT,QB,166,QB25,174.4,,8.4
923911,Noah Fant,SEA,TE,167,TE20,178.3,,11.3
1164875,Wan'Dale Robinson,NYG,WR,168,WR72,165.3,,-2.7
1123529,Michael Wilson,ARI,WR,169,WR73,160.5,,-8.5
1287923,Bucky Irving,TB,RB,170,RB52,174.1,Rookie,4.1
1213726,Jalen McMillan,TB,WR,171,WR74,190.5,Rookie,19.5
743749,Jonnu Smith,MIA,TE,172,TE21,187.2,,15.2
