Id,Name,Position,Team,ADP,rank
1109979,Ja'Marr Chase,WR,CIN,1.1,1.0
1062020,CeeDee Lamb,WR,DAL,4.1,2.5
1228244,Bijan Robinson,RB,ATL,2.4,3.5
883302,Saquon Barkley,RB,PHI,3.7,4.0
1214154,Jahmyr Gibbs,RB,DET,4.5,4.0
1069535,Justin Jefferson,WR,MIN,6.4,5.0
1162128,Puka Nacua,WR,LAR,13.4,7.5
830517,Christian McCaffrey,RB,SF,7.0,9.0
1286059,Malik Nabers,WR,NYG,9.7,9.5
1379646,Ashton Jeanty,RB,LV,12.4,9.775
1127106,Amon-Ra St. Brown,WR,DET,10.7,10.0
1074698,Nico Collins,WR,HOU,8.6,10.0
1178741,Drake London,WR,ATL,15.3,11.22
1285917,Brock Bowers,TE,LV,18.2,11.9
1286064,Brian Thomas Jr.,WR,JAX,14.1,12.5
944826,A.J. Brown,WR,PHI,20.5,16.0
1218643,Ladd McConkey,WR,LAC,21.9,16.15
732145,Derrick Henry,RB,BAL,10.9,16.5
1287923,Bucky Irving,RB,TB,20.5,17.0
1231820,De'Von Achane,RB,MIA,20.4,18.5
1108161,Trey McBride,TE,ARI,25.4,21.0
1123379,Chase Brown,RB,CIN,15.8,21.5
1065406,Jonathan Taylor,RB,IND,18.3,22.5
1214087,Jaxon Smith-Njigba,WR,SEA,30.2,23.375
978579,Tee Higgins,WR,CIN,26.5,24.5
868199,Josh Allen,QB,BUF,25.5,25.075
1161228,Jayden Daniels,QB,WAS,36.1,27.200000000000003
1398572,Omarion Hampton,RB,LAC,29.4,27.45
877745,Lamar Jackson,QB,BAL,28.1,29.0
611417,Davante Adams,WR,LAR,41.0,32.5
733672,George Kittle,TE,SF,35.0,32.5
1131012,James Cook,RB,BUF,32.3,33.15
1380576,Tet McMillan,WR,CAR,43.2,34.0
1172053,George Pickens,WR,DAL,48.6,34.042500000000004
1164402,Kenneth Walker III,RB,SEA,41.6,35.02
944416,Josh Jacobs,RB,GB,22.5,36.0
1164889,Garrett Wilson,WR,NYJ,40.1,36.0
913271,Jalen Hurts,QB,PHI,43.7,36.55
884013,Calvin Ridley,WR,TEN,55.8,37.4
1287837,TreVeyon Henderson,RB,NE,34.2,37.4
836116,Terry McLaurin,WR,WAS,42.2,39.0
1287828,Marvin Harrison Jr.,WR,ARI,37.3,39.0
1326638,Xavier Worthy,WR,KC,41.4,39.5
877790,DJ Moore,WR,CHI,52.1,41.5
1175184,Jameson Williams,WR,DET,47.6,41.6
1167361,Kyren Williams,RB,LAR,28.2,42.0
823156,Tyreek Hill,WR,MIA,34.4,43.605
1125749,Jaylen Waddle,WR,MIA,62.3,44.1
1399275,Travis Hunter,WR,JAX,67.4,44.370000000000005
1173538,Rashee Rice,WR,KC,64.5,46.0
1161416,Ricky Pearsall,WR,SF,56.9,46.92
1060262,Devonta Smith,WR,PHI,56.0,48.0
838878,Courtland Sutton,WR,DEN,45.2,48.0
593587,Mike Evans,WR,TB,31.7,51.0
1287825,Emeka Egbuka,WR,TB,51.3,51.425
1172401,RJ Harvey,RB,DEN,59.7,51.425
1177053,Zay Flowers,WR,BAL,60.6,52.0
878785,Joe Burrow,QB,CIN,45.0,53.5
750846,Alvin Kamara,RB,NO,46.8,54.5
880398,Tony Pollard,RB,TEN,65.9,56.400000000000006
694041,Stefon Diggs,WR,NE,76.1,56.525
835749,Deebo Samuel,WR,WAS,66.3,57.2
1122592,Chris Olave,WR,NO,77.9,57.375
1062047,Chuba Hubbard,RB,CAR,53.8,57.5
973935,Jerry Jeudy,WR,CLE,73.6,58.225
742390,James Conner,RB,ARI,57.5,60.5
1214250,Jordan Addison,WR,MIN,87.7,63.2
1379267,Matthew Golden,WR,GB,68.7,63.45
