id,name,Position,ADP,Team
1109979,Ja'Marr Chase,WR,,CIN
1062020,CeeDee Lamb,WR,,DAL
1069535,Justin Jefferson,WR,,MIN
1162128,Puka Nacua,WR,,LAR
883302,Saquon Barkley,RB,,PHI
1214154,Jahmyr Gibbs,RB,,DET
1286059,Malik Nabers,WR,,NYG
1228244,Bijan Robinson,RB,,ATL
1074698,Nico Collins,WR,,HOU
1127106,Amon-Ra St. Brown,WR,,DET
1379646,Ashton Jeanty,RB,,LV
1286064,Brian Thomas Jr.,WR,,JAX
1285917,Brock Bowers,TE,,LV
830517,Christian McCaffrey,RB,,SF
944826,A.J. Brown,WR,,PHI
1178741,Drake London,WR,,ATL
1218643,Ladd McConkey,WR,,LAC
1108161,Trey McBride,TE,,ARI
1231820,Devon Achane,RB,,MIA
1065406,Jonathan Taylor,RB,,IND
732145,Derrick Henry,RB,,BAL
978579,Tee Higgins,WR,,CIN
1164889,Garrett Wilson,WR,,NYJ
823156,Tyreek Hill,WR,,MIA
611417,Davante Adams,WR,,LAR
1214087,Jaxon Smith-Njigba,WR,,SEA
1287828,Marvin Harrison Jr.,WR,,ARI
1287923,Bucky Irving,RB,,TB
944416,Josh Jacobs,RB,,GB
868199,Josh Allen,QB,,BUF
877745,Lamar Jackson,QB,,BAL
1123379,Chase Brown,RB,,CIN
1398572,Omarion Hampton,RB,,LAC
593587,Mike Evans,WR,,TB
1326638,Xavier Worthy,WR,,KC
733672,George Kittle,TE,,SF
1380576,Tetairoa McMillan,WR,,CAR
836116,Terry McLaurin,WR,,WAS
913271,Jalen Hurts,QB,,PHI
1172053,George Pickens,WR,,DAL
1060262,DeVonta Smith,WR,,PHI
1162537,Breece Hall,RB,,NYJ
1161228,Jayden Daniels,QB,,WAS
877790,DJ Moore,WR,,CHI
1175184,Jameson Williams,WR,,DET
1177053,Zay Flowers,WR,,BAL
1131012,James Cook,RB,,BUF
1167361,Kyren Williams,RB,,LAR
1172401,RJ Harvey,RB,,DEN
1287837,TreVeyon Henderson,RB,,NE
1173538,Rashee Rice,WR,,KC
1062047,Chuba Hubbard,RB,,CAR
1164402,Kenneth Walker III,RB,,SEA
838878,Courtland Sutton,WR,,DEN
1399275,Travis Hunter,WR,,JAX
878785,Joe Burrow,QB,,CIN
945633,DK Metcalf,WR,,PIT
1122592,Chris Olave,WR,,NO
1125749,Jaylen Waddle,WR,,MIA
884013,Calvin Ridley,WR,,TEN
742390,James Conner,RB,,ARI
750846,Alvin Kamara,RB,,NO
867009,Jauan Jennings,WR,,SF
1161416,Ricky Pearsall,WR,,SF
946739,David Montgomery,RB,,DET
1213727,Rome Odunze,WR,,CHI
1287825,Emeka Egbuka,WR,,TB
835749,Deebo Samuel,WR,,WAS
1381902,Kaleb Johnson,RB,,PIT
1069808,D'Andre Swift,RB,,CHI
1379267,Matthew Golden,WR,,GB
694041,Stefon Diggs,WR,,NE
1214250,Jordan Addison,WR,,MIN
839031,Patrick Mahomes,QB,,KC
1168926,Sam LaPorta,TE,,DET
973935,Jerry Jeudy,WR,,CLE
1214633,Tre Harris,WR,,LAC
1130603,Khalil Shakir,WR,,BUF
880398,Tony Pollard,RB,,TEN
748070,Baker Mayfield,QB,,TB
880151,Jakobi Meyers,WR,,LV
1123398,Jayden Reed,WR,,GB
1215077,Josh Downs,WR,,IND
835127,Chris Godwin,WR,,TB
912027,Darnell Mooney,WR,,ATL
448240,Travis Kelce,TE,,KC
973966,Brian Robinson Jr.,RB,,WAS
1106832,Isiah Pacheco,RB,,KC
1274492,Jayden Higgins,WR,,HOU
1116001,Jordan Mason,RB,,MIN
741314,Aaron Jones,RB,,MIN
976513,J.K. Dobbins,RB,,DEN
1121761,Brock Purdy,QB,,SF
879799,Kyler Murray,QB,,ARI
1161899,Bo Nix,QB,,DEN
1286445,Caleb Williams,QB,,CHI
910562,Justin Herbert,QB,,LAC
1286803,Drake Maye,QB,,NE
1110681,Justin Fields,QB,,NYJ
923915,T.J. Hockenson,TE,,MIN
1322431,Keon Coleman,WR,,BUF
591816,Dak Prescott,QB,,DAL
1377732,Luther Burden,WR,,CHI
698227,Cooper Kupp,WR,,SEA
1176443,Jaylen Warren,RB,,PIT
727837,Jared Goff,QB,,DET
749185,Evan Engram,TE,,DEN
1107881,Javonte Williams,RB,,DAL
1280316,Cam Skattebo,RB,,NYG
1109708,Tyrone Tracy Jr.,RB,,NYG
911348,Michael Pittman,WR,,IND
1164530,Zach Charbonnet,RB,,SEA
820699,Mark Andrews,TE,,BAL
832098,David Njoku,TE,,CLE
1169430,Tyjae Spears,RB,,TEN
1108208,Rashod Bateman,WR,,BAL
923412,Rashid Shaheed,WR,,NO
1215035,Tank Bigsby,RB,,JAX
