id,name,Position,ADP,Team
1062020,CeeDee Lamb,WR,,DAL
823156,Tyreek Hill,WR,,MIA
1109979,Ja'Marr Chase,WR,,CIN
830517,Christian McCaffrey,RB,,SF
1069535,Justin Jefferson,WR,,MIN
1127106,Amon-Ra St. Brown,WR,,DET
1162128,Puka Nacua,WR,,LAR
1162537,Breece Hall,RB,,NYJ
1228244,Bijan Robinson,RB,,ATL
1164889,Garrett Wilson,WR,,NYJ
944826,A.J. Brown,WR,,PHI
1287828,Marvin Harrison Jr.,WR,,ARI
611417,Davante Adams,WR,,LV
1178741,Drake London,WR,,ATL
1214154,Jahmyr Gibbs,RB,,DET
1122592,Chris Olave,WR,,NO
1074698,Nico Collins,WR,,HOU
1065406,Jonathan Taylor,RB,,IND
1286059,Malik Nabers,WR,,NYG
1107034,Brandon Aiyuk,WR,,SF
835749,Deebo Samuel,WR,,SF
593587,Mike Evans,WR,,TB
877790,DJ Moore,WR,,CHI
1125749,Jaylen Waddle,WR,,MIA
1128222,Tank Dell,WR,,HOU
698227,Cooper Kupp,WR,,LAR
1060262,DeVonta Smith,WR,,PHI
945633,DK Metcalf,WR,,SEA
557210,Keenan Allen,WR,,CHI
694041,Stefon Diggs,WR,,HOU
911348,Michael Pittman,WR,,IND
883302,Saquon Barkley,RB,,PHI
1168926,Sam LaPorta,TE,,DET
1167361,Kyren Williams,RB,,LAR
1231820,Devon Achane,RB,,MIA
868199,Josh Allen,QB,,BUF
877745,Lamar Jackson,QB,,BAL
1172053,George Pickens,WR,,PIT
1108161,Trey McBride,TE,,ARI
836116,Terry McLaurin,WR,,WAS
865801,Christian Kirk,WR,,JAX
978579,Tee Higgins,WR,,CIN
913271,Jalen Hurts,QB,,PHI
448240,Travis Kelce,TE,,KC
820699,Mark Andrews,TE,,BAL
839031,Patrick Mahomes,QB,,KC
1135513,Dalton Kincaid,TE,,BUF
1123026,Kyle Pitts,TE,,ATL
1177053,Zay Flowers,WR,,BAL
650914,Amari Cooper,WR,,CLE
820727,Joe Mixon,RB,,HOU
1106832,Isiah Pacheco,RB,,KC
978577,Travis Etienne,RB,,JAX
1123398,Jayden Reed,WR,,GB
1131012,James Cook,RB,,BUF
835127,Chris Godwin,WR,,TB
1326638,Xavier Worthy,WR,,KC
944416,Josh Jacobs,RB,,GB
732145,Derrick Henry,RB,,BAL
1214084,C.J. Stroud,QB,,HOU
1215022,Anthony Richardson,QB,,IND
733672,George Kittle,TE,,SF
749185,Evan Engram,TE,,JAX
1173538,Rashee Rice,WR,,KC
1213727,Rome Odunze,WR,,CHI
560241,DeAndre Hopkins,WR,,TEN
884013,Calvin Ridley,WR,,TEN
1218643,Ladd McConkey,WR,,LAC
1067918,Christian Watson,WR,,GB
1286064,Brian Thomas Jr.,WR,,JAX
976220,Marquise Brown,WR,,KC
591816,Dak Prescott,QB,,DAL
1229343,Rachaad White,RB,,TB
1174682,Rhamondre Stevenson,RB,,NE
1065361,Jake Ferguson,TE,,DAL
741314,Aaron Jones,RB,,MIN
878785,Joe Burrow,QB,,CIN
1285917,Brock Bowers,TE,,LV
879799,Kyler Murray,QB,,ARI
912137,Jordan Love,QB,,GB
1164402,Kenneth Walker III,RB,,SEA
1214087,Jaxon Smith-Njigba,WR,,SEA
832098,David Njoku,TE,,CLE
973964,Najee Harris,RB,,PIT
1176443,Jaylen Warren,RB,,PIT
913170,Zack Moss,RB,,CIN
1326601,Jonathon Brooks,RB,,CAR
1110697,Zamir White,RB,,LV
946739,David Montgomery,RB,,DET
1123379,Chase Brown,RB,,CIN
742390,James Conner,RB,,ARI
750846,Alvin Kamara,RB,,NO
606501,Raheem Mostert,RB,,MIA
916466,Devin Singletary,RB,,NYG
973966,Brian Robinson Jr.,RB,,WAS
1069808,D'Andre Swift,RB,,CHI
1175184,Jameson Williams,WR,,DET
821389,Curtis Samuel,WR,,BUF
880151,Jakobi Meyers,WR,,LV
1161228,Jayden Daniels,QB,,WAS
1214250,Jordan Addison,WR,,MIN
1121761,Brock Purdy,QB,,SF
891115,Diontae Johnson,WR,,CAR
880398,Tony Pollard,RB,,TEN
1169430,Tyjae Spears,RB,,TEN
1286445,Caleb Williams,QB,,CHI
605242,Tyler Lockett,WR,,SEA
838878,Courtland Sutton,WR,,DEN
1248031,Trey Benson,RB,,ARI
1130603,Khalil Shakir,WR,,BUF
923412,Rashid Shaheed,WR,,NO
727837,Jared Goff,QB,,DET
973947,Tua Tagovailoa,QB,,MIA
1110711,Trevor Lawrence,QB,,JAX
1322431,Keon Coleman,WR,,BUF
1172428,Dontayvion Wicks,WR,,GB
1107881,Javonte Williams,RB,,DEN
1122653,Romeo Doubs,WR,,GB
976761,Gabriel Davis,WR,,JAX
1285908,Adonai Mitchell,WR,,IND
1059612,Joshua Palmer,WR,,LAC
791365,Dallas Goedert,TE,,PHI
790004,Austin Ekeler,RB,,WAS
733754,Mike Williams,WR,,NYJ
1164530,Zach Charbonnet,RB,,SEA
1229540,Blake Corum,RB,,LAR
1215077,Josh Downs,WR,,IND
728338,Ezekiel Elliott,RB,,DAL
1059576,Ty Chandler,RB,,MIN
1213414,MarShawn Lloyd,RB,,GB
933480,Rico Dowdle,RB,,DAL
1131198,Tyler Allgeier,RB,,ATL
1116662,Pat Freiermuth,TE,,PIT
923915,T.J. Hockenson,TE,,MIN
1286513,Jaylen Wright,RB,,MIA
739799,Gus Edwards,RB,,LAC
1213799,Marvin Mims Jr.,WR,,DEN
607864,Brandin Cooks,WR,,DAL
1165229,Ray Davis,RB,,BUF
1213881,Ja'Lynn Polk,WR,,NE
1062047,Chuba Hubbard,RB,,CAR
403308,Kirk Cousins,QB,,ATL
910562,Justin Herbert,QB,,LAC
822857,Nick Chubb,RB,,CLE
748070,Baker Mayfield,QB,,TB
1213867,Kendre Miller,RB,,NO
1107826,Antonio Gibson,RB,,NE
973935,Jerry Jeudy,WR,,CLE
1125737,Jerome Ford,RB,,CLE
1125111,Isaiah Likely,TE,,BAL
830523,Dalton Schultz,TE,,HOU
744425,Hunter Henry,TE,,NE
1066765,Cole Kmet,TE,,CHI
1164875,Wan'Dale Robinson,WR,,NYG
1164846,Luke McCaffrey,WR,,WAS
1229669,Roman Wilson,WR,,PIT
1286176,Troy Franklin,WR,,DEN
1215291,Malachi Corley,WR,,NYJ
1121878,Jahan Dotson,WR,,WAS
935104,Khalil Herbert,RB,,CHI
1163265,Roschon Johnson,RB,,CHI
1231136,Javon Baker,WR,,NE
1116663,Will Levis,QB,,TEN
879981,Daniel Jones,QB,,NYG
323205,Matthew Stafford,QB,,LAR
513856,Geno Smith,QB,,SEA
213957,Aaron Rodgers,QB,,NYJ
828743,Deshaun Watson,QB,,CLE
1123529,Michael Wilson,WR,,ARI
1124851,Andrei Iosivas,WR,,CIN
1218631,Jermaine Burton,WR,,CIN
1179790,Luke Musgrave,TE,,GB
1228920,Ben Sinnott,TE,,WAS
743749,Jonnu Smith,TE,,MIA
861278,Tyler Conklin,TE,,NYJ
1106374,Chig Okonkwo,TE,,TEN
923911,Noah Fant,TE,,SEA
884609,Juwan Johnson,TE,,NO
503184,Taysom Hill,TE,,NO
1213726,Jalen McMillan,WR,,TB
1180321,Xavier Legette,WR,,CAR
733643,Adam Thielen,WR,,CAR
1321291,Audric Estime,RB,,DEN
1050833,Elijah Mitchell,RB,,SF
1325231,Braelon Allen,RB,,NYJ
1128998,Deneric Prince,RB,,KC
1287923,Bucky Irving,RB,,TB
1214824,Kimani Vidal,RB,,LAC
1173266,Evan Hull,RB,,IND
1271738,Jaleel McLaughlin,RB,,DEN
1049263,Cade Otton,TE,,TB
1173255,Malik Washington,WR,,MIA
496083,Derek Carr,QB,,NO
1110681,Justin Fields,QB,,PIT
1161899,Bo Nix,QB,,DEN
1286803,Drake Maye,QB,,NE
880026,Sam Darnold,QB,,MIN
607047,Jacoby Brissett,QB,,NE
1213257,Bryce Young,QB,,CAR
1287599,J.J. McCarthy,QB,,MIN
910852,Greg Dortch,WR,,ARI
1213865,Quentin Johnston,WR,,LAC
727279,Demarcus Robinson,WR,,LAR
